amfi_code,sortino_ratio
148567,2.3856443733688186
120843,2.3643200321667184
148569,2.146913926346055
119551,2.140267129061793
120505,2.0293529404657464
149323,1.8751010639192083
118632,1.850132546855726
100033,1.8291339615146942
120504,1.8052937940992548
101206,1.799562874698452
119094,1.7037974802463003
119598,1.6753165700125519
148568,1.632740977873516
149324,1.6197931764914093
119552,1.609776489628308
102885,1.4357420130649492
120503,1.3379431500669237
125497,1.3306512447571364
118633,1.154475716923624
118635,1.137976718780742
120506,1.0958951614736467
102887,1.0887552508030016
120507,1.0521238822609291
120841,0.8625738849916581
149322,0.7621288703723166
118634,0.7460146308533572
125498,0.5088128197169232
101207,0.27664379626092334
119093,0.22108683979276353
120842,0.12469346986475674
119092,0.05257398559304803
119599,-0.09438726129459606
119095,-0.12818559275851926
120844,-0.1877230477424223
102886,-0.34722230254727265
100016,-0.3510474601523089
119120,-0.37676700817066683
118636,-0.6135251287271023
100025,-0.9418212366054204
101208,-1.681037866751281
